date,composite,score_inflation,score_labor,score_growth,score_credit,score_external,score_property,score_fiscal,z_inflation,z_labor,z_growth,z_credit,z_external,z_property,z_fiscal,n_series,n_lenses,temp_count,k1_ratio,composition
2026-07-28,43.6,34.8,75.8,47.1,40.8,2.3,62.3,,-0.627,1.144,-0.115,-0.371,-3.768,0.503,,17,6,2,,18s6l-ddcb20cc
2026-07-29,40.6,34.8,75.8,47.1,40.8,2.3,62.3,20.5,-0.627,1.144,-0.115,-0.371,-3.768,0.503,-1.353,19,7,2,0.4927,21s7l-4b7bed71
